Metric,Module,Type,AbsoluteValue,ContributionWithinModule
Coupling,Analyzers,ArchitecturalClassificationAnalyzer,11,0,12
Coupling,Analyzers,ArchitecturalHygieneAnalyzer,7,0,08
Coupling,Analyzers,CoreIsolationAnalyzer,7,0,08
Coupling,Analyzers,CouplingAnalyzer,5,0,05
Coupling,Analyzers,EntryPointHeuristicAnalyzer,5,0,05
Coupling,Analyzers,FitnessGateAnalyzer,13,0,14
Coupling,Analyzers,ImplicitCouplingAnalyzer,8,0,09
Coupling,Analyzers,ProjectStructureAnalyzer,5,0,05
Coupling,Analyzers,StructuralCandidateAnalyzer,6,0,07
Coupling,Analyzers,StructuralCandidateRefinementAnalyzer,11,0,12
Coupling,Analyzers,SolidAnalyzer,5,0,05
Coupling,Analyzers,SolidConfig,0,0,00
Coupling,Analyzers,SolidResult,1,0,01
Coupling,Analyzers,SolidSuspicion,0,0,00
Coupling,Analyzers,CoreDependencyAbsolutionRule,1,0,01
Coupling,Analyzers,IAbsolutionRule,1,0,01
Coupling,Analyzers,IOmissionRule,1,0,01
Coupling,Analyzers,OrchestratorAbsolutionRule,1,0,01
Coupling,Analyzers,PublicZeroUsageOmissionRule,3,0,03
Coupling,CLI,ParserSelector,5,1,00
Coupling,CLI,SelfAnalysisSelector,0,0,00
Coupling,Exporters,ChartsRenderer,5,0,08
Coupling,Exporters,DatasetExporter,5,0,08
Coupling,Exporters,DumpAnaliseExporter,7,0,11
Coupling,Exporters,DumpIaExporter,3,0,05
Coupling,Exporters,FitnessGateCsvExporter,5,0,08
Coupling,Exporters,HtmlDashboardExporter,3,0,05
Coupling,Exporters,MarkdownReportExporter,15,0,25
Coupling,Exporters,ProjectStructureExporter,3,0,05
Coupling,Exporters,StructuralInventoryExporter,15,0,25
Coupling,Infrastructure,ConfigLoader,2,0,40
Coupling,Infrastructure,ConfigValidator,1,0,20
Coupling,Infrastructure,CrashLogger,0,0,00
Coupling,Infrastructure,LayerRuleEvaluator,2,0,40
Coupling,Infrastructure,TerminalRenderer,0,0,00
Coupling,Execution,DumpStrategyResolver,1,0,04
Coupling,Execution,ISegmentationResolver,1,0,04
Coupling,Execution,LayerSegmentationResolver,6,0,24
Coupling,Execution,SegmentScope,1,0,04
Coupling,Execution,TopFolderSegmentationResolver,4,0,16
Coupling,Execution,GlobalDumpStrategy,4,0,16
Coupling,Execution,IDumpStrategy,4,0,16
Coupling,Execution,SegmentedDumpStrategy,4,0,16
Coupling,Parsers,CSharpRegexParser,15,0,50
Coupling,Parsers,HigienizadorLexico,0,0,00
Coupling,Parsers,CSharpTextualParser,15,0,50
